Fevals:          Best:       Current:    Mean range:   Temperature:
 654000        390.777        390.777    4.70659e-05     0.00870551
 657000        390.524        390.552    4.82863e-05     0.00564723
 660000        390.455        390.506    4.14476e-05     0.00564723
 663000        390.396        390.455    3.74856e-05     0.00564723
 666000        390.339        390.396    3.80305e-05     0.00564723
 669000        390.312        390.352    3.62126e-05     0.00564723
 672000        390.292        390.335    3.55205e-05     0.00564723
 675000        390.231        390.281    3.67634e-05     0.00564723
 678000        390.205        390.336    3.84228e-05     0.00564723
 681000        390.192        390.256    3.64357e-05     0.00564723
 684000         390.18        390.284     3.9808e-05     0.00564723
 687000         390.17        390.229    3.81547e-05     0.00564723
 690000        390.124        390.145    3.37614e-05     0.00366333
 693000        390.123        390.152    3.12993e-05     0.00366333
 696000        390.116        390.132      3.013e-05     0.00366333
 699000        390.102        390.123    2.97537e-05     0.00366333
 702000        390.096         390.15    3.04355e-05     0.00366333
 705000        390.096        390.152    2.88459e-05     0.00366333
 708000        390.095        390.116    2.90914e-05     0.00366333
 711000        390.088        390.117    3.01765e-05     0.00366333
 714000        390.085         390.13    3.08876e-05     0.00366333
 717000        390.083        390.147    3.02618e-05     0.00366333
 720000        390.062        390.092    2.93518e-05     0.00237639
 723000        390.056        390.103    2.49853e-05     0.00237639
 726000        390.055        390.079    2.38189e-05     0.00237639
 729000        390.055        390.069    2.32973e-05     0.00237639
 732000        390.051         390.08    2.39334e-05     0.00237639
 735000        390.051        390.089    2.35861e-05     0.00237639
 738000        390.051        390.074    2.43509e-05     0.00237639
 741000        390.048        390.077     2.4016e-05     0.00237639
 744000        390.048        390.066    2.44613e-05     0.00237639
 747000        390.048        390.063     2.3539e-05     0.00237639

Fevals:          Best:       Current:    Mean range:   Temperature:
 750000        390.044        390.087    2.36086e-05     0.00237639
 753000        390.035        390.053    1.96819e-05     0.00154155
 756000         390.03         390.05     1.8384e-05     0.00154155
 759000         390.03        390.056    1.87519e-05     0.00154155
 762000        390.025        390.049    1.76841e-05     0.00154155
 765000        390.025        390.042    2.04504e-05     0.00154155
 768000        390.024        390.043    2.02084e-05     0.00154155
 771000        390.022        390.039    1.85284e-05     0.00154155
 774000        390.022        390.046    1.90845e-05     0.00154155
 777000        390.022        390.043    1.88504e-05     0.00154155
 780000        390.022        390.034    1.91085e-05     0.00154155
