Gen:        Fevals:          Best:   Improvement:     Mutations:
   1633           1633        5496.85        67.3444              1
   1634           1634        5483.33        13.5203              2
   1635           1635        5472.82        10.5056              3
   1640           1640        5464.61        8.20785              1
   1642           1642        5446.01        18.6063              3
   1648           1648        5444.79        1.22027              1
   1654           1654        5408.76        36.0264              1
   1658           1658        5390.44        18.3166              1
   1659           1659        5389.84       0.604965              1
   1677           1677        5388.64        1.20002              1
   1678           1678        5385.48        3.16337              1
   1689           1689        5359.27        26.2037              2
   1700           1700        5358.02        1.25534              1
   1707           1707         5356.4        1.61466              1
   1713           1713         5350.3        6.09901              2
   1717           1717        5322.89         27.415              1
   1721           1721        5305.95        16.9404              1
   1722           1722        5226.63        79.3183              2
   1724           1724        5226.03       0.599509              1
   1736           1736        5224.78        1.25328              1
   1743           1743        5136.86        87.9215              2
   1746           1746        5132.67        4.18455              1
   1764           1764        5072.12        60.5488              1
   1767           1767        5068.19        3.93048              1
   1768           1768        5052.37        15.8181              1
   1769           1769        5049.31        3.06161              1
   1797           1797        5035.43        13.8852              1
   1798           1798           5032        3.42498              1
   1808           1808        4907.77         124.23              2
   1814           1814        4899.18        8.59686              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   1827           1827         4867.6         31.575              2
   1845           1845        4841.22         26.384              1
   1848           1848        4822.57        18.6487              1
   1851           1851        4821.74       0.823543              1
   1857           1857        4812.37        9.37564              1
   1869           1869        4811.88       0.487421              2
   1881           1881        4686.56        125.321              3
   1894           1894        4681.99        4.56605              2
   1899           1899        4597.18        84.8105              2
   1905           1905        4596.92       0.266674              1
   1911           1911        4578.05        18.8717              1
   1912           1912        4567.43        10.6188              3
   1921           1921        4551.85        15.5721              1
   1926           1926        4546.97        4.88223              2
   1929           1929        4503.37         43.599              1
   1933           1933        4496.02         7.3579              2
   1935           1935        4492.58        3.43685              1
   1962           1962        4486.18         6.4009              2
   1963           1963        4479.02        7.15898              1
   1968           1968        4429.23        49.7873              1
   1969           1969        4394.84        34.3907              1
   1979           1979        4394.46       0.381321              1
   1988           1988        4390.36        4.10393              1
   1992           1992        4389.72       0.638382              1
   1999           1999        4355.52        34.1928              2
   2024           2024        4352.01        3.51708              1
   2031           2031        4339.44        12.5626              2
   2034           2034         4336.5        2.94571              1
   2038           2038        4332.11         4.3852              1
   2045           2045        4229.67        102.439              1
   2056           2056        4229.38       0.295476              1
   2075           2075        4228.01        1.37117              1
   2076           2076        4227.69       0.314671              1
   2077           2077        4226.88        0.81577              1
   2079           2079        4215.45        11.4302              1
   2089           2089        4196.22        19.2283              1
   2111           2111        4171.06        25.1582              1
   2113           2113        4167.06        3.99761              2
   2118           2118        4166.94       0.119668              2
   2125           2125        4146.72         20.227              2
   2126           2126        4145.72       0.992427              1
   2138           2138        4144.12        1.60404              2
   2145           2145        4052.97        91.1524              1
   2150           2150        4051.52        1.45147              2
   2156           2156        4012.62        38.8932              2
   2163           2163        3965.89        46.7371              2
   2166           2166        3962.91        2.97225              1
   2180           2180         3958.3        4.61669              1
   2189           2189        3953.29         5.0103              1
   2191           2191        3940.53        12.7562              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   2194           2194        3933.99        6.53803              1
   2197           2197        3829.88        104.111              2
   2201           2201        3828.94       0.944614              1
   2206           2206        3775.49        53.4477              1
   2210           2210        3775.45      0.0436449              1
   2226           2226        3756.42        19.0295              2
   2228           2228        3719.29        37.1303              1
   2229           2229        3699.55        19.7364              1
   2231           2231        3677.52        22.0335              2
   2233           2233        3676.82       0.694454              1
   2235           2235        3666.95        9.87276              1
   2237           2237        3666.35       0.597221              1
   2240           2240        3665.82       0.536085              2
   2249           2249        3663.73        2.08236              1
   2256           2256        3661.92        1.81725              1
   2262           2262        3655.56        6.35334              1
   2272           2272        3647.53        8.02791              2
   2273           2273         3615.4        32.1359              1
   2287           2287        3614.86       0.540449              1
   2289           2289        3614.55       0.305295              1
   2295           2295        3612.38        2.17065              1
   2299           2299        3612.23       0.150844              1
   2300           2300        3608.54        3.69572              1
   2305           2305         3582.9        25.6364              1
   2313           2313        3562.16        20.7352              4
   2315           2315        3560.12        2.04073              1
   2318           2318        3545.79        14.3323              1
   2321           2321        3542.71        3.08012              1
   2324           2324        3541.93       0.780688              2
   2337           2337        3541.45       0.476421              1
   2361           2361        3528.02        13.4368              2
   2362           2362        3521.85        6.16306              1
   2369           2369        3517.91        3.94545              1
   2372           2372        3515.23        2.67558              1
   2374           2374        3512.98        2.25709              1
   2378           2378        3448.11        64.8694              2
   2382           2382        3435.43        12.6804              2
