Gen:        Fevals:          Best:   Improvement:     Mutations:
   1177           1177       -119.513     0.00224309              2
   1183           1183       -119.513    0.000367771              1
   1184           1184       -119.515     0.00156506              1
   1185           1185       -119.523     0.00785714              1
   1202           1202       -119.526     0.00274647              1
   1203           1203       -119.527     0.00166532              2
   1206           1206       -119.529     0.00192949              1
   1209           1209       -119.537     0.00779693              3
   1210           1210       -119.539     0.00213157              1
   1213           1213       -119.541     0.00144845              1
   1216           1216       -119.551      0.0104196              2
   1223           1223       -119.556     0.00524811              3
   1224           1224        -119.56     0.00396572              1
   1237           1237       -119.567     0.00708974              1
   1244           1244        -119.57     0.00254063              1
   1246           1246        -119.58     0.00993344              1
   1247           1247       -119.591      0.0117983              1
   1248           1248       -119.593     0.00128235              1
   1249           1249       -119.599     0.00587163              1
   1253           1253         -119.6     0.00135663              2
   1256           1256       -119.608     0.00797041              4
   1260           1260       -119.613     0.00542938              1
   1263           1263        -119.62     0.00652227              1
   1266           1266       -119.629     0.00864393              2
   1267           1267       -119.633     0.00427295              1
   1271           1271       -119.639     0.00621105              1
   1273           1273       -119.643     0.00404085              1
   1280           1280       -119.656      0.0130167              1
   1285           1285       -119.659     0.00293446              1
   1291           1291       -119.674      0.0154174              2
   1293           1293       -119.676     0.00186859              1
   1294           1294       -119.677    0.000649524              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   1295           1295       -119.686     0.00944066              1
   1300           1300       -119.701      0.0140982              2
   1303           1303       -119.703     0.00264444              2
   1309           1309       -119.707     0.00381297              1
   1310           1310        -119.71      0.0030846              1
   1314           1314       -119.711    0.000456703              1
   1316           1316       -119.711    0.000398869              2
   1317           1317       -119.713     0.00211294              1
   1322           1322       -119.715     0.00173107              1
   1327           1327       -119.718     0.00297705              2
   1346           1346       -119.718    0.000106089              1
   1355           1355        -119.73      0.0122046              2
   1357           1357       -119.736     0.00636581              1
   1364           1364       -119.744     0.00761435              1
   1365           1365       -119.747     0.00248403              1
   1367           1367       -119.755     0.00805504              1
   1370           1370       -119.757      0.0028849              3
   1375           1375       -119.758    0.000328629              1
   1391           1391       -119.766     0.00795276              2
   1393           1393       -119.766    0.000670387              1
   1396           1396       -119.768     0.00180895              1
   1403           1403       -119.772     0.00367674              1
   1410           1410       -119.772    0.000551707              1
   1416           1416       -119.774     0.00194955              1
   1423           1423       -119.776     0.00129172              1
   1431           1431       -119.777     0.00129482              1
   1438           1438       -119.777    7.29617e-05              1
   1444           1444       -119.782     0.00452977              2
   1451           1451       -119.782    0.000278928              1
   1459           1459       -119.783     0.00111586              1
   1463           1463        -119.79     0.00676616              2
   1469           1469       -119.797     0.00714343              2
   1471           1471       -119.798     0.00101549              1
   1477           1477       -119.799      0.0014576              1
   1485           1485       -119.808     0.00896145              1
   1487           1487       -119.815     0.00624016              1
   1496           1496       -119.815    1.36884e-05              1
   1501           1501       -119.816     0.00138552              1
   1514           1514       -119.834      0.0183201              3
   1517           1517       -119.842      0.0079133              1
   1523           1523       -119.853      0.0106864              2
   1527           1527       -119.854       0.001375              2
   1529           1529       -119.869      0.0148495              2
   1534           1534        -119.87     0.00107739              1
   1540           1540       -119.875      0.0046156              1
   1543           1543       -119.878     0.00361392              1
   1546           1546       -119.906      0.0273763              1
   1551           1551       -119.912     0.00593516              2
   1557           1557       -119.914     0.00250465              1
   1560           1560       -119.931      0.0164046              3

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   1567           1567       -119.951      0.0207157              1
   1568           1568       -119.972      0.0210151              2
   1577           1577       -119.977      0.0045606              1
   1595           1595       -119.978     0.00129094              1
   1596           1596       -119.984     0.00563217              1
   1601           1601       -120.049      0.0650228              1
   1604           1604       -120.059     0.00994914              2
   1611           1611       -120.067     0.00781303              3
   1612           1612       -120.076     0.00923004              1
   1613           1613       -120.093      0.0175515              2
   1621           1621       -120.093    1.11831e-05              1
   1632           1632       -120.125      0.0312041              4
   1634           1634       -120.125    0.000398864              1
   1637           1637       -120.125    0.000301743              1
   1639           1639       -120.139      0.0138238              1
   1644           1644       -120.143     0.00432587              2
   1650           1650       -120.145     0.00127492              1
   1651           1651       -120.146     0.00143088              1
   1653           1653        -120.15     0.00356875              1
   1655           1655       -120.184      0.0345306              2
   1657           1657       -120.188     0.00350282              1
   1673           1673        -120.19     0.00228869              1
   1676           1676       -120.192     0.00153211              1
   1683           1683       -120.197     0.00547349              1
   1687           1687         -120.2     0.00243172              2
   1688           1688       -120.201      0.0012641              1
   1689           1689       -120.204     0.00368374              2
   1694           1694       -120.209     0.00493086              1
   1704           1704       -120.226      0.0167604              2
